X	Y	T = 0	T = 0.1	T = 0.2	T = 0.3	T = 0.4	T = 0.5	T = 0.6	T = 0.7	T = 0.8	T = 0.9	T = 1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.2	0	0	0	0	0	0	0	0	0	0	0
0	0.4	0	0	0	0	0	0	0	0	0	0	0
0	0.6	0	0	0	0	0	0	0	0	0	0	0
0	0.8	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0

0.2	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0.2	0.345492	0.320149	0.283004	0.24343	0.205753	0.171841	0.142309	0.117136	0.0959878	0.0784005	0.063881
0.2	0.4	0.559017	0.487199	0.415187	0.348678	0.289872	0.239252	0.196443	0.16068	0.13106	0.106679	0.0867012
0.2	0.6	0.559017	0.478196	0.399971	0.330678	0.271544	0.222024	0.181007	0.147267	0.119641	0.0970945	0.0787359
0.2	0.8	0.345492	0.288892	0.238141	0.194915	0.158903	0.129233	0.10494	0.0851249	0.0690024	0.0559056	0.0452785
0.2	1	7.19806e-17	0	0	0	0	0	0	0	0	0	0

0.4	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0.2	0.559017	0.487199	0.415187	0.348678	0.289872	0.239252	0.196443	0.16068	0.13106	0.106679	0.0867012
0.4	0.4	0.904508	0.741412	0.60911	0.499431	0.408382	0.333108	0.271169	0.220411	0.178947	0.145158	0.117674
0.4	0.6	0.904508	0.727712	0.586785	0.473648	0.38256	0.309121	0.249861	0.202011	0.163355	0.132116	0.106863
0.4	0.8	0.559017	0.439632	0.34937	0.279188	0.223868	0.179929	0.144858	0.116769	0.0942146	0.0760705	0.0614533
0.4	1	1.16467e-16	0	0	0	0	0	0	0	0	0	0

0.6	0	0	0	0	0	0	0	0	0	0	0	0
0.6	0.2	0.559017	0.478196	0.399971	0.330678	0.271544	0.222024	0.181007	0.147267	0.119641	0.0970945	0.0787359
0.6	0.4	0.904508	0.727712	0.586785	0.473648	0.38256	0.309121	0.249861	0.202011	0.163355	0.132116	0.106863
0.6	0.6	0.904508	0.714266	0.56528	0.449196	0.35837	0.286862	0.230227	0.185147	0.149122	0.120246	0.0970452
0.6	0.8	0.559017	0.431509	0.336565	0.264775	0.209713	0.166973	0.133475	0.107021	0.0860057	0.0692358	0.0558075
0.6	1	1.16467e-16	0	0	0	0	0	0	0	0	0	0

0.8	0	0	0	0	0	0	0	0	0	0	0	0
0.8	0.2	0.345492	0.288892	0.238141	0.194915	0.158903	0.129233	0.10494	0.0851249	0.0690024	0.0559056	0.0452785
0.8	0.4	0.559017	0.439632	0.34937	0.279188	0.223868	0.179929	0.144858	0.116769	0.0942146	0.0760705	0.0614533
0.8	0.6	0.559017	0.431509	0.336565	0.264775	0.209713	0.166973	0.133475	0.107021	0.0860057	0.0692358	0.0558075
0.8	0.8	0.345492	0.260687	0.20039	0.156069	0.122721	0.0971895	0.077383	0.0618616	0.0496035	0.039865	0.0320931
0.8	1	7.19806e-17	0	0	0	0	0	0	0	0	0	0

1	0	0	0	0	0	0	0	0	0	0	0	0
1	0.2	7.19806e-17	0	0	0	0	0	0	0	0	0	0
1	0.4	1.16467e-16	0	0	0	0	0	0	0	0	0	0
1	0.6	1.16467e-16	0	0	0	0	0	0	0	0	0	0
1	0.8	7.19806e-17	0	0	0	0	0	0	0	0	0	0
1	1	1.49966e-32	0	0	0	0	0	0	0	0	0	0

