#X	Y	T = 0	T = 0.1	T = 0.2	T = 0.3	T = 0.4	T = 0.5	T = 0.6	T = 0.7	T = 0.8	T = 0.9	T = 1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.2	0	0	0	0	0	0	0	0	0	0	0
0	0.4	0	0	0	0	0	0	0	0	0	0	0
0	0.6	0	0	0	0	0	0	0	0	0	0	0
0	0.8	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0

0.2	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0.2	0	0.0372017	0.0512553	0.0536708	0.0505239	0.0450135	0.0388054	0.0327396	0.0272085	0.0223628	0.0182254
0.2	0.4	0	0.0394403	0.0563818	0.0609586	0.0589707	0.0537693	0.0472755	0.0405634	0.034203	0.0284672	0.0234562
0.2	0.6	0	0.0367541	0.0516398	0.0553114	0.0532889	0.0485506	0.0427389	0.0367569	0.0310843	0.0259536	0.0214538
0.2	0.8	0	0.0223917	0.0312011	0.0331915	0.0318176	0.0288928	0.0253858	0.0218142	0.0184457	0.0154073	0.0127452
0.2	1	0	5.25748e-17	3.84008e-17	2.8048e-17	2.04864e-17	1.49633e-17	1.09292e-17	7.98274e-18	5.83061e-18	4.25869e-18	3.11056e-18

0.4	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0.2	0	0.0394403	0.0563818	0.0609586	0.0589707	0.0537693	0.0472755	0.0405634	0.034203	0.0284672	0.0234562
0.4	0.4	0	0.0317238	0.0512597	0.0603118	0.0620457	0.059265	0.0540299	0.0477199	0.0411979	0.0349663	0.0292891
0.4	0.6	0	0.0275699	0.0441215	0.0519507	0.0537218	0.0516725	0.0474606	0.0422258	0.0367067	0.0313524	0.0264134
0.4	0.8	0	0.0165388	0.0261936	0.0306373	0.0315659	0.0303159	0.0278433	0.0247938	0.0215838	0.0184669	0.0155862
0.4	1	0	8.50678e-17	6.21337e-17	4.53827e-17	3.31476e-17	2.42111e-17	1.76839e-17	1.29163e-17	9.43413e-18	6.89071e-18	5.03299e-18

0.6	0	0	0	0	0	0	0	0	0	0	0	0
0.6	0.2	0	0.0367541	0.0516398	0.0553114	0.0532889	0.0485506	0.0427389	0.0367569	0.0310843	0.0259536	0.0214538
0.6	0.4	0	0.0275699	0.0441215	0.0519507	0.0537218	0.0516725	0.0474606	0.0422258	0.0367067	0.0313524	0.0264134
0.6	0.6	0	0.0234409	0.0370787	0.043759	0.0456147	0.0443132	0.0411168	0.0369356	0.0323916	0.0278861	0.0236586
0.6	0.8	0	0.01399	0.0218554	0.0256043	0.0265981	0.0258173	0.0239737	0.0215726	0.0189602	0.0163618	0.0139147
0.6	1	0	8.50678e-17	6.21337e-17	4.53827e-17	3.31476e-17	2.42111e-17	1.76839e-17	1.29163e-17	9.43413e-18	6.89071e-18	5.03299e-18

0.8	0	0	0	0	0	0	0	0	0	0	0	0
0.8	0.2	0	0.0223917	0.0312011	0.0331915	0.0318176	0.0288928	0.0253858	0.0218142	0.0184457	0.0154073	0.0127452
0.8	0.4	0	0.0165388	0.0261936	0.0306373	0.0315659	0.0303159	0.0278433	0.0247938	0.0215838	0.0184669	0.0155862
0.8	0.6	0	0.01399	0.0218554	0.0256043	0.0265981	0.0258173	0.0239737	0.0215726	0.0189602	0.0163618	0.0139147
0.8	0.8	0	0.0083393	0.0128541	0.0149395	0.0154621	0.0149965	0.0139395	0.0125686	0.0110742	0.00958213	0.00817074
0.8	1	0	5.25748e-17	3.84008e-17	2.8048e-17	2.04864e-17	1.49633e-17	1.09292e-17	7.98274e-18	5.83061e-18	4.25869e-18	3.11056e-18

1	0	0	0	0	0	0	0	0	0	0	0	0
1	0.2	0	5.25748e-17	3.84008e-17	2.8048e-17	2.04864e-17	1.49633e-17	1.09292e-17	7.98274e-18	5.83061e-18	4.25869e-18	3.11056e-18
1	0.4	0	8.50678e-17	6.21337e-17	4.53827e-17	3.31476e-17	2.42111e-17	1.76839e-17	1.29163e-17	9.43413e-18	6.89071e-18	5.03299e-18
1	0.6	0	8.50678e-17	6.21337e-17	4.53827e-17	3.31476e-17	2.42111e-17	1.76839e-17	1.29163e-17	9.43413e-18	6.89071e-18	5.03299e-18
1	0.8	0	5.25748e-17	3.84008e-17	2.8048e-17	2.04864e-17	1.49633e-17	1.09292e-17	7.98274e-18	5.83061e-18	4.25869e-18	3.11056e-18
1	1	0	1.09536e-32	8.00051e-33	5.8436e-33	4.26818e-33	3.11749e-33	2.27702e-33	1.66314e-33	1.21476e-33	8.87267e-34	6.48062e-34

