#X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0.1	0	0.0101118	0.0160784	0.0195328	0.0214346	0.0223535	0.0226362	0.0225002	0.0220859	0.0214871	0.0207677	0.0199721	0.0191321	0.0182702	0.0174027	0.0165417	0.0156956	0.0148705	0.0140708	0.0132994	0.0125582	0.0118482	0.0111701	0.0105238	0.00990905	0.00932525	0.00877165	0.00824734	0.00775132	0.00728252	0.00683982	0.0064221	0.00602821	0.00565703	0.00530743	0.00497834	0.0046687	0.00437746	0.00410366	0.00384632	0.00360455
0.1	0.2	0	0.0107347	0.0176206	0.0220248	0.0247707	0.0263805	0.0271977	0.027455	0.0273137	0.0268883	0.0262611	0.0254928	0.024628	0.0237005	0.0227354	0.021752	0.0207649	0.019785	0.0188205	0.0178778	0.0169613	0.0160742	0.0152188	0.0143966	0.0136083	0.0128542	0.0121343	0.0114483	0.0107953	0.0101748	0.0095858	0.00902724	0.00849806	0.00799715	0.00752335	0.0070755	0.00665245	0.00625306	0.00587619	0.00552076	0.00518569
0.1	0.3	0	0.0134149	0.0213906	0.0262322	0.0291516	0.0308257	0.0316572	0.0319004	0.0317246	0.0312472	0.0305527	0.0297033	0.0287454	0.0277146	0.0266379	0.0255363	0.024426	0.0233193	0.0222259	0.0211531	0.0201064	0.0190899	0.0181066	0.0171584	0.0162466	0.0153719	0.0145346	0.0137345	0.0129712	0.012244	0.0115521	0.0108945	0.0102702	0.00967792	0.00911661	0.00858501	0.00808189	0.00760603	0.00715622	0.00673126	0.00632997
