X	Y	T = 0	T = 0.1	T = 0.2	T = 0.3	T = 0.4	T = 0.5	T = 0.6	T = 0.7	T = 0.8	T = 0.9	T = 1
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.2	0	0	0	0	0	0	0	0	0	0	0
0	0.4	0	0	0	0	0	0	0	0	0	0	0
0	0.6	0	0	0	0	0	0	0	0	0	0	0
0	0.8	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0

0.2	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0.2	0.345492	0.28955	0.235571	0.188295	0.148854	0.116834	0.0912634	0.0710551	0.0551942	0.0428036	0.0331555
0.2	0.4	0.559017	0.447748	0.354611	0.278786	0.218072	0.169977	0.132154	0.102559	0.0794848	0.0615412	0.0476136
0.2	0.6	0.559017	0.445062	0.349869	0.273139	0.21239	0.164759	0.127618	0.0987526	0.0763661	0.0590276	0.0456111
0.2	0.8	0.345492	0.27474	0.215517	0.167816	0.130148	0.100713	0.0778438	0.0601296	0.0464315	0.0358482	0.0276752
0.2	1	7.19806e-17	0	0	0	0	0	0	0	0	0	0

0.4	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0.2	0.559017	0.447748	0.354611	0.278786	0.218072	0.169977	0.132154	0.102559	0.0794848	0.0615412	0.0476136
0.4	0.4	0.904508	0.692379	0.533804	0.412764	0.319477	0.247294	0.191367	0.148031	0.114465	0.0884811	0.0683764
0.4	0.6	0.904508	0.688225	0.526666	0.404403	0.311154	0.239701	0.184797	0.142537	0.109974	0.0848672	0.0655007
0.4	0.8	0.559017	0.424846	0.324423	0.248465	0.190667	0.146524	0.112722	0.0867895	0.0668656	0.0515409	0.0397435
0.4	1	1.16467e-16	0	0	0	0	0	0	0	0	0	0

0.6	0	0	0	0	0	0	0	0	0	0	0	0
0.6	0.2	0.559017	0.445062	0.349869	0.273139	0.21239	0.164759	0.127618	0.0987526	0.0763661	0.0590276	0.0456111
0.6	0.4	0.904508	0.688225	0.526666	0.404403	0.311154	0.239701	0.184797	0.142537	0.109974	0.0848672	0.0655007
0.6	0.6	0.904508	0.684096	0.519623	0.396211	0.303046	0.232342	0.178454	0.137247	0.105659	0.0814009	0.062746
0.6	0.8	0.559017	0.422298	0.320084	0.243432	0.1857	0.142026	0.108853	0.0835683	0.064242	0.0494358	0.0380721
0.6	1	1.16467e-16	0	0	0	0	0	0	0	0	0	0

0.8	0	0	0	0	0	0	0	0	0	0	0	0
0.8	0.2	0.345492	0.27474	0.215517	0.167816	0.130148	0.100713	0.0778438	0.0601296	0.0464315	0.0358482	0.0276752
0.8	0.4	0.559017	0.424846	0.324423	0.248465	0.190667	0.146524	0.112722	0.0867895	0.0668656	0.0515409	0.0397435
0.8	0.6	0.559017	0.422298	0.320084	0.243432	0.1857	0.142026	0.108853	0.0835683	0.064242	0.0494358	0.0380721
0.8	0.8	0.345492	0.260687	0.19717	0.149564	0.113792	0.0868171	0.0663975	0.050884	0.0390599	0.030023	0.0231008
0.8	1	7.19806e-17	0	0	0	0	0	0	0	0	0	0

1	0	0	0	0	0	0	0	0	0	0	0	0
1	0.2	7.19806e-17	0	0	0	0	0	0	0	0	0	0
1	0.4	1.16467e-16	0	0	0	0	0	0	0	0	0	0
1	0.6	1.16467e-16	0	0	0	0	0	0	0	0	0	0
1	0.8	7.19806e-17	0	0	0	0	0	0	0	0	0	0
1	1	1.49966e-32	0	0	0	0	0	0	0	0	0	0

