X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0.1	0.0954915	0.101075	0.102714	0.102126	0.10024	0.0975819	0.0944613	0.0910722	0.0875395	0.0839469	0.0803514	0.0767928	0.0732988	0.0698888	0.0665763	0.0633703	0.0602768	0.0572991	0.0544389	0.0516963	0.0490705	0.0465599	0.0441621	0.0418744	0.0396936	0.0376166	0.0356396	0.0337592	0.0319716	0.0302731	0.0286601	0.0271289	0.025676	0.0242977	0.0229907	0.0217517	0.0205775	0.0194648	0.0184108	0.0174126	0.0164673
0.1	0.2	0.181636	0.183258	0.181406	0.177559	0.172527	0.166792	0.160654	0.15431	0.147893	0.141494	0.135177	0.128986	0.122952	0.117098	0.111437	0.105978	0.100728	0.0956863	0.0908546	0.0862304	0.0818104	0.0775902	0.0735648	0.0697286	0.0660754	0.062599	0.0592928	0.0561503	0.0531649	0.05033	0.0476393	0.0450862	0.0426646	0.0403685	0.0381919	0.0361292	0.0341749	0.0323236	0.0305704	0.0289103	0.0273386
0.1	0.3	0.25	0.250478	0.246111	0.239316	0.231263	0.222568	0.213581	0.204511	0.195496	0.186622	0.17795	0.169519	0.161355	0.153475	0.145889	0.138603	0.131615	0.124926	0.11853	0.112422	0.106595	0.101041	0.0957509	0.0907162	0.0859277	0.0813758	0.0770511	0.0729442	0.0690458	0.0653467	0.0618379	0.0585108	0.0553568	0.0523677	0.0495356	0.0468527	0.0443119	0.0419059	0.0396281	0.0374719	0.0354311
